id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ so với phiên bản trước [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,"The answer accurately reflects the change in the SLA for ticket P1 resolution time from 6 hours to 4 hours as stated in the context. It does not introduce any external facts or exaggerations, making it fully supported by the provided information.",5,"The answer directly addresses the user's query by stating the specific change in the SLA for P1 tickets, indicating that it has been reduced from 6 hours to 4 hours. This provides a clear and relevant response to the question asked.",5,Retrieved: 2/1 expected sources,3,"The actual answer provides the key information about the change in SLA for P1 tickets, specifically stating that it has changed from 6 hours to 4 hours. However, it lacks details about the current version (v2026.1), the effective date (2026-01-15), and the mention that the previous version (v2025.3) did not change this SLA. These details are important for a complete understanding of the context.",baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn phải sử dụng VPN và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,"The answer accurately reflects the requirements for remote work as stated in the context, specifically that VPN must be used and that each account can connect on a maximum of 2 devices simultaneously. There are no external facts or exaggerations present in the answer.",5,"The answer directly addresses the user's query about the maximum number of devices that can be connected to a VPN while working remotely, providing a specific number (2 devices). Therefore, it is relevant and fully answers the question.",5,Retrieved: 4/2 expected sources,3,"The actual answer contains the essential information about using VPN while working remotely and the limit of 2 devices per account. However, it lacks the specific mention of the HR Leave Policy and the name of the VPN software (Cisco AnyConnect), which are important details in the expected answer.",baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm sẽ không được hoàn tiền. Điều này nằm trong ngoại lệ không được hoàn tiền, bao gồm cả sản phẩm đã được kích hoạt hoặc đăng ký tài khoản và đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,The answer accurately reflects the conditions outlined in the context regarding refunds for orders made during a Flash Sale and the activation of products. It correctly states that such orders are not eligible for refunds due to the exceptions listed. There are no external facts or exaggerations present in the answer.,5,"The answer directly addresses the user's query about whether orders from the Flash Sale program that have activated products can be refunded. It clearly states that such orders are not eligible for refunds, providing relevant details about the exceptions involved. Therefore, it fully answers the question without any unnecessary information.",5,Retrieved: 2/1 expected sources,3,"The actual answer conveys the core message that the order is not eligible for a refund due to the conditions of the Flash Sale and the activation of the product. However, it lacks the specific reference to the two exceptions mentioned in the expected answer and does not explicitly cite 'Điều 3 của chính sách' as the source of the refund policy. Therefore, while it captures the main idea, it is missing some important details.",baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận được giá trị 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,"The answer accurately reflects the information provided in the context regarding the option to receive store credit at 110% of the original amount. It does not introduce any external facts or exaggerations, making it fully supported by the context.",5,The answer directly addresses the user's query by stating that they will receive 110% of the original amount if they choose store credit instead of a refund. This is a clear and relevant response to the question asked.,5,Retrieved: 2/1 expected sources,4,"The actual answer provides the key information that customers can receive store credit at 110% of the original amount, which aligns with the expected answer. However, it lacks the detail that this option is not mandatory, which is a significant point in the expected answer.",baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?",Không đủ dữ liệu.,"Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates that there is insufficient information to provide a definitive response to the user's query about whether external contractors can be granted Admin Access, the time required, and any special requirements. Since the query genuinely lacks context, this response is appropriate and relevant.",5,Retrieved: 2/1 expected sources,1,"The actual answer states 'Không đủ dữ liệu' which indicates a lack of information and does not address the query regarding whether external contractors can be granted Admin Access, the processing time, or any special requirements. It completely misses the core points outlined in the expected answer.",baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời cho engineer trong sự cố P1 như sau:

1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1]. 

Quyền này tồn tại tối đa 24 giờ [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,"The answer accurately reflects the process for granting temporary permissions to engineers during a P1 incident as outlined in the context. It includes all relevant steps and conditions without adding any external facts or exaggerations. Therefore, it is fully supported by the context.",5,"The answer directly addresses the user's query by outlining the specific process for granting temporary access to an engineer during a P1 incident, including the approval requirement, duration of the access, and logging procedures. It provides clear and relevant information without unnecessary details.",5,Retrieved: 4/2 expected sources,5,"The actual answer contains all the key information present in the expected answer, including the process for granting temporary access, the maximum duration of the access, the requirement for a formal ticket after 24 hours, the logging of temporary permissions, and the mention of contacting the on-call engineer. Therefore, it fully meets the criteria outlined in the expected answer.",baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Không đủ dữ liệu.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates that there is insufficient information to determine the penalty for violating the SLA commitment, which is relevant to the query as it acknowledges the lack of context needed to provide a specific answer. Therefore, it is appropriate to score it as a complete response given the circumstances.",,No expected sources,1,"The actual answer states that there is insufficient data, which does not provide any information about the absence of penalty clauses or the content of the SLA document. It fails to address the core point regarding the lack of specified penalties for SLA P1 violations, which is a critical detail in the expected answer.",baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Số ngày này không giống với số ngày cần giấy tờ khi nghỉ ốm, vì khi nghỉ ốm, nhân viên chỉ cần thông báo cho Line Manager trước 9:00 sáng ngày nghỉ, và nếu nghỉ trên 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện [1].",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,"The answer accurately reflects the requirements for requesting annual leave and sick leave as outlined in the context. It correctly states that employees must notify at least 3 working days in advance for annual leave and that for sick leave, notification must be given before 9:00 AM on the day of absence. Additionally, it distinguishes between the two types of leave regarding the need for medical documentation after 3 consecutive sick days. There are no external facts or significant inaccuracies present in the answer.",5,The answer directly addresses both parts of the user query by stating the required notice period for annual leave and clarifying the difference in requirements for sick leave. It provides specific information relevant to the user's questions without unnecessary tangents.,5,Retrieved: 2/1 expected sources,3,"The actual answer provides the key information about the notice period for annual leave (3 working days) and the requirement for medical documentation when taking sick leave for more than 3 consecutive days. However, it incorrectly states that the notice for sick leave is only to inform the Line Manager, which is not mentioned in the expected answer. The core points are mostly covered, but the comparison between the two situations is not as clear as in the expected answer.",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu tài khoản công ty cần được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,The answer accurately reflects the information provided in the context regarding the requirement to change the company account password every 90 days and the system's reminder 7 days prior to expiration. There are no external facts or exaggerations present in the answer.,5,"The answer directly addresses the user's query about whether company account passwords need to be changed periodically, specifies the frequency of change (every 90 days), and mentions the reminder system (7 days before expiration). It provides complete and relevant information without unnecessary tangents.",5,Retrieved: 2/1 expected sources,3,"The actual answer contains all the key information present in the expected answer, including the requirement to change the password every 90 days and the reminder period of 7 days before expiration. However, it lacks the specific details about where to change the password and the contact information for Helpdesk, which are important for completeness.",baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,The answer accurately reflects the information provided in the context regarding the refund policy and the applicability of the previous version for orders placed before the effective date. It does not introduce any external facts or exaggerations.,5,"The answer directly addresses the user's query by stating that the current refund policy does not apply to orders placed before 01/02/2026, which is exactly what the user is asking about. It also provides additional context about the refund policy version that will apply to those orders.",5,Retrieved: 2/1 expected sources,3,"The actual answer correctly states that the current refund policy does not apply to orders placed before February 1, 2026, and mentions that those orders will follow refund policy version 3. However, it lacks the detail about the effective date of refund policy version 4, which is a key piece of information in the expected answer. Therefore, it is missing some important details.",baseline_dense
